20,20
0,6,23,48,50,19,14,45,0,41,16,0,14,24,99,0,0,4,0,10
0,0,8,24,0,0,76,12,0,88,47,47,46,41,53,5,0,16,47,0
44,0,0,0,42,85,45,33,50,72,41,0,62,18,0,42,79,0,0,62
45,59,45,14,24,44,69,44,55,52,50,78,0,55,98,52,52,47,42,44
0,0,0,15,46,44,38,47,35,53,0,46,44,50,0,41,41,34,0,53
71,52,0,0,53,0,4,53,12,5,0,24,12,11,13,27,92,44,41,19
54,45,0,12,0,62,42,42,54,51,0,48,55,48,49,55,0,90,16,0
41,64,0,0,38,0,9,81,19,50,55,19,41,53,49,53,105,46,9,0
14,0,27,1,9,48,8,0,42,0,53,45,54,0,0,52,1,54,12,50
52,13,84,54,55,8,28,0,43,0,0,0,23,5,0,0,21,55,12,13
6,3,41,0,48,0,55,41,87,43,0,50,51,47,37,7,5,53,48,12
0,55,41,0,0,19,13,75,45,14,0,0,6,42,2,0,0,49,47,12
3,51,48,66,5,0,6,52,41,48,54,24,52,0,47,8,54,0,44,22
46,41,6,55,52,15,20,69,45,54,2,50,47,45,8,4,90,9,47,58
0,8,55,42,0,52,0,14,34,50,0,47,0,0,49,44,19,0,0,9
47,0,54,5,0,0,14,14,54,0,23,16,18,44,16,36,54,50,42,10
0,12,51,0,0,8,0,42,48,0,54,9,9,0,57,103,51,48,53,0
0,43,0,101,20,46,52,42,41,0,12,80,22,0,0,54,46,45,0,7
2,0,0,0,44,44,81,14,8,0,15,51,0,0,53,65,0,75,54,15
43,0,44,62,42,52,47,42,0,19,0,64,21,46,0,55,65,0,0,107
